rank_saa,playerID,name,role,team,IP,qualifying_IP,qualifying_seasons,W,L,SV,SO,G,GS,career_ERA,career_WHIP,ERA_plus,real_WAR,SAA_total,SAA_rate,z_era,z_whip,z_k9,z_wpct,z_sv,yr_min,yr_max,hof,is_nel_ranked
1,johnswa01,Walter Johnson,SP,WS1,5914.666666666667,5914.666666666667,21.0,417,279,34,3509,802,666,2.1668169522091976,1.0610910730387737,161.99952049354658,155.38,33.57879342196198,1.1354416170636379,1.1511122146048862,1.3245172620268597,1.7472710630684898,0.627277531873029,0.41624528917397635,1907,1927,True,False
2,youngcy01,Cy Young,SP,CL4,7356.0,7355.999999999999,22.0,511,315,18,2803,906,815,2.6268352365415986,1.1295541054921152,142.47683326270328,165.85,30.56241569809107,0.8309520309432047,0.8936288657759576,1.2948318302760011,0.38025909344195247,0.7771799917065216,0.5234903990052007,1890,1911,True,False
3,mathech01,Christy Mathewson,SP,NY1,4788.666666666667,4755.0,16.0,373,188,29,2507,636,552,2.1331616316302378,1.0581233467910343,147.64656967326712,100.6,23.18160549631066,0.9750412406439815,0.8780618053736517,1.1041999775704288,0.8608704374785959,1.0560424359943132,0.9609322021337927,1900,1916,True,False
4,nichoki01,Kid Nichols,SP,BSN,5067.333333333333,5056.333333333333,14.0,362,208,16,1881,621,562,2.9554006051835287,1.2237205630838048,143.4139133622831,118.95,22.63730025773419,0.8954037942277352,0.8435111931210173,1.1349873690140997,0.5590100868267999,0.8749022677387107,1.139966827808537,1890,1906,True,False
5,clemero02,Roger Clemens,SP,BOS,4916.666666666667,4916.666666666667,24.0,354,184,0,4672,709,707,3.124677966101695,1.1725423728813558,151.6428998130124,138.67000000000002,21.673389784899513,0.8816294149789631,0.8539451374752203,0.9567908336342219,1.366135209228264,0.9791403643882073,-0.4010969252169181,1984,2007,False,False
6,johnsra05,Randy Johnson,SP,SEA,4135.333333333333,4109.333333333333,21.0,303,166,2,4875,618,603,3.292842173142028,1.1711268740931808,147.47953879624316,103.52,21.46259473808811,1.0445779398809918,0.7236693448592473,0.962356133774569,2.385782853330826,0.9129036834242656,-0.36665737128480796,1988,2009,True,False
7,alexape01,Pete Alexander,SP,PHI,5190.0,5142.333333333333,18.0,373,208,32,2198,696,599,2.559537572254335,1.121194605009634,143.59283220445317,116.89,21.453820574731463,0.8344002297814789,0.9432003364760818,1.1424181331992485,0.3937374439141772,0.9305659866042847,0.48134926258953853,1911,1930,True,False
8,grovele01,Lefty Grove,SP,PHA,3940.6666666666665,3940.6666666666665,17.0,300,141,55,2266,616,457,3.0581119945863646,1.2779563525630182,156.16531512120577,113.24,20.890358706639006,1.0602449013689226,0.9580387303770875,0.7416459523574596,1.4170426694168134,1.0882587456554826,1.3426344767082643,1925,1941,True,False
9,ryanno01,Nolan Ryan,SP,CAL,5386.0,5383.0,26.0,324,292,3,5714,807,773,3.1932788711474194,1.24730783512811,114.41459455806582,83.6,20.703889201187206,0.7692323686118226,0.4989122960327266,0.4006793995315602,2.7868692644658553,0.17680867378734583,-0.4840114292988944,1966,1993,True,False
10,walshed01,Ed Walsh,SP,CHA,2964.3333333333335,2916.0,11.0,195,126,35,1736,430,315,1.8155852918025412,0.9995502080287866,150.89576055301117,65.05,19.230314804473327,1.3189516326799267,1.1871334338339687,1.4292876104686858,1.3428717240723969,0.6801543542014081,2.602411559495017,1904,1917,True,False
11,rusieam01,Amos Rusie,SP,NY1,3778.6666666666665,3756.6666666666665,9.0,246,174,5,1950,463,427,3.0677487649964714,1.3486238532110093,133.08704057288944,64.85000000000001,18.435943316354532,0.9815054116958934,0.8885094953988761,0.6962208526461281,2.213573117734776,0.5924524350500815,0.24117714127670478,1889,1901,True,False
12,seaveto01,Tom Seaver,SP,NYN,4782.666666666667,4782.666666666667,20.0,311,205,1,3640,656,647,2.8622107610816836,1.1209227766936158,133.46040431743396,106.02,17.83861430419814,0.745969374304355,0.7694172011800484,1.029006260068591,1.0727739333177655,0.6667119085834107,-0.5153365938804031,1967,1986,True,False
13,martipe02,Pedro Martinez,SP,BOS,2827.3333333333335,2791.3333333333335,16.0,219,100,3,3154,476,409,2.925371374675784,1.054350389059184,170.24249627612164,86.08,17.646425674679584,1.264372510724594,1.126542880464956,1.631365996891435,1.93703886941363,1.1095522413188812,-0.3442293076100637,1992,2009,True,False
14,wadderu01,Rube Waddell,SP,PHA,2961.3333333333335,2914.3333333333335,11.0,193,143,5,2316,407,340,2.1608509680324177,1.1018685276902296,139.68661530588437,60.92,16.600109944637545,1.1392046170402064,0.8684655665132311,0.765518583867391,3.360233499059095,0.44651727274201386,-0.30641574915170844,1897,1910,True,False
15,hubbeca01,Carl Hubbell,SP,NY1,3590.3333333333335,3590.3333333333335,16.0,253,154,33,1677,535,431,2.97799647200817,1.1659084578962027,136.3855041677681,68.83,15.644483322806698,0.8714780423065657,0.9666670776632992,1.2432989387156395,0.5379463059600259,0.7690665123335871,0.5758397455310809,1928,1943,True,False
16,vanceda01,Dazzy Vance,SP,BRO,2966.6666666666665,2933.666666666666,14.0,197,140,11,2045,442,347,3.24,1.23,133.04153183113525,62.940000000000005,15.047653546058811,1.0258598031627415,0.7987273232736858,0.9891876633852457,2.499128364744181,0.5784579010752315,-0.36769381470299084,1915,1935,True,False
17,keefeti01,Tim Keefe,SP,NY1,5049.666666666667,5049.666666666666,14.0,342,225,2,2564,600,594,2.6271040992804804,1.1230444253746121,133.51565867304276,89.14,14.533958666686225,0.5756403194938104,0.5885512689750694,0.6702833465990449,0.8309865849582723,0.594661957434503,-0.24198042878273224,1880,1893,True,False
18,fellebo01,Bob Feller,SP,CLE,3827.0,3827.0,18.0,266,162,21,2581,570,484,3.254768748366867,1.3156519466945389,125.8657168514998,65.19,14.296199835730148,0.7471230643182726,0.5899516603403218,0.4280208848134524,1.690871192387736,0.7294743026663035,0.11433260526599455,1936,1956,True,False
19,kershcl01,Clayton Kershaw,SP,LAN,2855.3333333333335,2825.3333333333335,17.0,223,96,0,3052,455,451,2.534204996497782,1.0177445715619893,161.5241060059559,78.13,14.248233123341008,1.0086054594153615,1.23202961877121,1.3419946257578352,0.865976437163104,1.1261317787888225,-0.3571270952585003,2008,2025,False,False
20,maddugr01,Greg Maddux,SP,ATL,5008.333333333333,4977.333333333333,22.0,355,227,0,3371,744,740,3.1555407653910152,1.1430948419301166,144.54601289950813,104.79,14.198009591306713,0.5705066806043416,0.8401250384870644,1.1131049975046352,-0.10640327007073593,0.7097867317625908,-0.3847752073195436,1986,2008,True,False
21,brownmo01,Mordecai Brown,SP,CHN,3172.3333333333335,3172.3333333333335,14.0,239,130,49,1375,481,332,2.0568456446359145,1.0657770305768623,152.25655262468018,57.21,14.10861030516991,0.8894784263005096,0.8936958397242728,0.9766132725431087,0.05816575457817072,0.9390230179487533,2.224633937282789,1903,1916,True,False
22,clarkjo01,John Clarkson,SP,BSN,4536.333333333333,4512.333333333334,11.0,328,178,5,1978,531,518,2.8113013446983617,1.2093467558233524,136.17399790162827,84.98,14.094527397323006,0.6247112682569108,0.7389739317804189,0.7256811155476875,0.248842471209785,0.9168857479775684,0.2540186258741346,1882,1894,True,False
23,planked01,Eddie Plank,SP,PHA,4495.666666666667,4495.666666666666,17.0,326,194,23,2246,623,529,2.350263216430637,1.118855193890413,124.02860623549027,88.06,13.976630418803124,0.6217823275214558,0.5750178781271711,0.6898856266854568,0.688724027434705,0.7998846354387017,0.07834718743617386,1901,1917,True,False
24,koufasa01,Sandy Koufax,SP,LAN,2324.3333333333335,2324.3333333333335,12.0,165,87,9,2396,397,314,2.7607916248386632,1.1061236196758926,143.54575132625152,53.07,13.778454425233244,1.185583343631141,0.9099771099903846,1.0428869339139242,2.681501818445496,1.0048176316858046,-0.4130943503715852,1955,1966,True,False
25,carltst01,Steve Carlton,SP,PHI,5217.333333333333,5182.666666666667,22.0,329,244,2,4136,741,709,3.215435727063634,1.2468055200613342,122.2104141133592,84.11,13.266276380546897,0.5119478922258901,0.453323958475055,0.38415706591873516,1.2645278556680104,0.5054646219112771,-0.5142085938841509,1965,1988,True,False
26,schilcu01,Curt Schilling,SP,PHI,3261.0,3237.666666666667,18.0,216,146,22,3116,569,436,3.4581416743330267,1.1373811714198099,131.53059202150376,80.52,13.12893402643979,0.8110120885271156,0.6821075008665163,1.2047914146036096,1.2161430063727443,0.6233039134152691,-0.30274275163103676,1988,2007,False,False
27,spahnwa01,Warren Spahn,SP,ML1,5243.666666666667,5228.000000000001,20.0,363,245,29,2583,750,665,3.0860085182124464,1.1945839425338503,122.60999905500691,92.59,12.880541686371826,0.49275216856816456,0.7338151809938668,0.9017749449880547,-0.08226837877188609,0.6050071387669343,-0.20693114926325465,1942,1965,True,False
28,suttodo01,Don Sutton,SP,LAN,5282.333333333333,5282.333333333333,23.0,324,256,5,3574,774,756,3.2610588754969396,1.1424875370732632,111.74858639269495,68.29,12.135731853388808,0.4594837579373565,0.3723070566406506,0.9271402070716013,0.5224679547228293,0.3935733305829362,-0.48586315051859685,1966,1988,True,False
29,paigesa01,Satchel Paige,RP,BBB,1782.0,1694.6666666666667,17.0,130,82,44,1520,408,202,2.8282828282828283,1.1088664421997756,169.73742961946132,48.67,12.080121521958018,1.425663436895124,0.9513871329969443,1.3879774716725262,3.2913231083589474,0.6838286089097392,0.4579194227401912,1927,1965,True,True
30,smoltjo01,John Smoltz,SP,ATL,3473.0,3444.9999999999995,20.0,213,155,154,3084,723,481,3.3273826662827526,1.175928591995393,131.3229743611892,66.4,11.89103748573932,0.6903359933665789,0.6418194053576075,0.9084126480433526,0.9408824017707578,0.4994507637887798,-0.03429591688743631,1988,2009,True,False
31,scherma01,Max Scherzer,SP,WAS,2963.0,2963.0000000000005,18.0,221,117,0,3489,483,474,3.216672291596355,1.0840364495443806,135.2977525513901,73.85,11.858663346720808,0.8004497702815262,0.6016925718734593,0.9621547344649621,1.2810908417114304,0.9258389023991165,-0.3584743013801173,2008,2025,False,False
32,blylebe01,Bert Blyleven,SP,MIN,4970.0,4949.666666666667,21.0,287,250,0,3701,692,685,3.3138832997987926,1.1979879275653924,122.40845786924186,96.13,11.476518484892344,0.46372894409963,0.3916096421568327,0.6815393463620051,0.961203518787341,0.26610048062101566,-0.5001910291175081,1970,1992,True,False
33,gibsobo01,Bob Gibson,SP,SLN,3884.333333333333,3884.3333333333335,17.0,251,174,6,3117,528,482,2.9147858920449674,1.1881060671071828,137.8397642480502,81.7,11.281599286395242,0.5808769906322101,0.6418298825948489,0.5129644293270805,1.118234732317229,0.593025042179586,-0.5007354224763525,1959,1975,True,False
34,bendech01,Charles Bender,SP,PHA,3017.0,3015.9999999999995,15.0,212,127,34,1711,459,334,2.4550878355982766,1.1126947298641034,118.95909482783641,42.81,11.17711888651278,0.7411882550737918,0.4030690286842694,0.6913643409981909,1.1719127871076371,0.7970813536436901,0.7378108450291128,1903,1925,True,False
35,wilheho01,Hoyt Wilhelm,RP,CHA,2254.3333333333335,2209.0,19.0,143,122,227,1610,1070,52,2.523140618068904,1.1245009611119325,159.14011099444406,49.69,11.096200691503665,1.004635644319028,1.2289819662824595,1.073579968954067,0.9413601978536066,0.2689060429309677,1.869419123529815,1952,1972,True,False
36,deandi01,Dizzy Dean,SP,SLN,1967.3333333333333,1953.3333333333335,9.0,150,83,30,1163,317,230,3.02389020670959,1.2056929854286682,135.08102593261245,43.910000000000004,11.095617532631776,1.1360700545356766,0.9164123846298291,1.0409874187489574,1.4326569741656505,0.8948996774703543,1.8120877336377854,1930,1947,True,False
37,fordwh01,Whitey Ford,SP,NYA,3170.3333333333335,3170.3333333333335,16.0,236,106,10,1956,498,438,2.7451372095468405,1.2150141940910524,135.78783241798007,53.58,10.801888328308793,0.6814354954248003,1.034848833948502,0.6209765685643827,0.3473493328614117,1.2049926950473886,-0.42989260785180944,1950,1967,True,False
