rank_saa,playerID,name,role,team,IP,qualifying_IP,qualifying_seasons,W,L,SV,SO,G,GS,career_ERA,career_WHIP,ERA_plus,real_WAR,SAA_total,SAA_rate,z_era,z_whip,z_k9,z_wpct,z_sv,yr_min,yr_max,hof
1,johnswa01,Walter Johnson,SP,WS1,5914.666666666667,5914.666666666667,21.0,417,279,34,3509,802,666,2.1668169522091976,1.0610910730387737,161.99952049354658,155.38,35.00804144323042,1.1837705627783055,1.1619713687677584,1.3649002048444676,1.9225286999112094,0.6487524870663945,0.37796431979727907,1907,1927,True
2,youngcy01,Cy Young,SP,CL4,7356.0,7355.999999999999,22.0,511,315,18,2803,906,815,2.6268352365415986,1.1295541054921152,142.47683326270328,165.85,30.56241569809107,0.8309520309432047,0.8936288657759576,1.2948318302760011,0.38025909344195247,0.7771799917065216,0.5234903990052007,1890,1911,True
3,mathech01,Christy Mathewson,SP,NY1,4788.666666666667,4755.0,16.0,373,188,29,2507,636,552,2.1331616316302378,1.0581233467910343,147.64656967326712,100.6,23.18160549631066,0.9750412406439815,0.8780618053736517,1.1041999775704288,0.8608704374785959,1.0560424359943132,0.9609322021337927,1900,1916,True
4,grovele01,Lefty Grove,SP,PHA,3940.6666666666665,3940.6666666666665,17.0,300,141,55,2266,616,457,3.0581119945863646,1.2779563525630182,156.16531512120577,113.24,22.98387420544568,1.1664967453279824,1.0286388798216721,0.8208720397966802,1.8198949493151748,1.1440134551603016,1.1133733452829908,1925,1941,True
5,nichoki01,Kid Nichols,SP,BSN,5067.333333333333,5056.333333333333,14.0,362,208,16,1881,621,562,2.9554006051835287,1.2237205630838048,143.4139133622831,118.95,22.63730025773419,0.8954037942277352,0.8435111931210173,1.1349873690140997,0.5590100868267999,0.8749022677387107,1.139966827808537,1890,1906,True
6,alexape01,Pete Alexander,SP,PHI,5190.0,5142.333333333333,18.0,373,208,32,2198,696,599,2.559537572254335,1.121194605009634,143.59283220445317,116.89,22.352761053039554,0.8693625871409693,0.9653279557586057,1.2119858815478033,0.46677832518602114,0.9526824950600005,0.41141963765162565,1911,1930,True
7,clemero02,Roger Clemens,SP,BOS,4916.666666666667,4916.666666666667,24.0,354,184,0,4672,709,707,3.124677966101695,1.1725423728813558,151.6428998130124,138.67000000000002,21.673389784899513,0.8816294149789631,0.8539451374752203,0.9567908336342219,1.366135209228264,0.9791403643882073,-0.4010969252169181,1984,2007,False
8,johnsra05,Randy Johnson,SP,SEA,4135.333333333333,4109.333333333333,21.0,303,166,2,4875,618,603,3.292842173142028,1.1711268740931808,147.47953879624316,103.52,21.46259473808811,1.0445779398809918,0.7236693448592473,0.962356133774569,2.385782853330826,0.9129036834242656,-0.36665737128480796,1988,2009,True
9,ryanno01,Nolan Ryan,SP,CAL,5386.0,5383.0,26.0,324,292,3,5714,807,773,3.1932788711474194,1.24730783512811,114.41459455806582,83.6,20.703889201187206,0.7692323686118226,0.4989122960327266,0.4006793995315602,2.7868692644658553,0.17680867378734583,-0.4840114292988944,1966,1993,True
10,walshed01,Ed Walsh,SP,CHA,2964.3333333333335,2916.0,11.0,195,126,35,1736,430,315,1.8155852918025412,0.9995502080287866,150.89576055301117,65.05,19.230314804473327,1.3189516326799267,1.1871334338339687,1.4292876104686858,1.3428717240723969,0.6801543542014081,2.602411559495017,1904,1917,True
11,rusieam01,Amos Rusie,SP,NY1,3778.6666666666665,3756.6666666666665,9.0,246,174,5,1950,463,427,3.0677487649964714,1.3486238532110093,133.08704057288944,64.85000000000001,18.435943316354532,0.9815054116958934,0.8885094953988761,0.6962208526461281,2.213573117734776,0.5924524350500815,0.24117714127670478,1889,1901,True
12,vanceda01,Dazzy Vance,SP,BRO,2966.6666666666665,2933.666666666666,14.0,197,140,11,2045,442,347,3.24,1.23,133.04153183113525,62.940000000000005,18.024943622914165,1.2288337886318035,0.8627049738758911,1.1205813269730696,3.2520644055238086,0.6407468089124241,-0.4619841279560058,1915,1935,True
13,seaveto01,Tom Seaver,SP,NYN,4782.666666666667,4782.666666666667,20.0,311,205,1,3640,656,647,2.8622107610816836,1.1209227766936158,133.46040431743396,106.02,17.83861430419814,0.745969374304355,0.7694172011800484,1.029006260068591,1.0727739333177655,0.6667119085834107,-0.5153365938804031,1967,1986,True
14,martipe02,Pedro Martinez,SP,BOS,2827.3333333333335,2791.3333333333335,16.0,219,100,3,3154,476,409,2.925371374675784,1.054350389059184,170.24249627612164,86.08,17.646425674679584,1.264372510724594,1.126542880464956,1.631365996891435,1.93703886941363,1.1095522413188812,-0.3442293076100637,1992,2009,True
15,hubbeca01,Carl Hubbell,SP,NY1,3590.3333333333335,3590.3333333333335,16.0,253,154,33,1677,535,431,2.97799647200817,1.1659084578962027,136.3855041677681,68.83,17.165332629162315,0.9561971569489729,1.0258486030271625,1.3606994212947152,0.7674501824522045,0.802589609341271,0.45552192509808187,1928,1943,True
