rank_saa,playerID,name,career_PA,qualifying_seasons,SAA_final,SAA_total,SAA_peak,SAA_rate,z_AVG_career,z_ISO_career,z_BB_career,z_SB_career,z_DEF_career,real_WAR,is_negro_leaguer,is_nel_ranked,season_equivalents
1,ruthba01,Babe Ruth,10616.0,17.0,23.987574551608077,29.383880080561195,18.591269022654963,1.7422994414800592,1.209744926849777,4.018680535889794,3.625158107232717,-0.5311997303878413,-0.6781201751314981,182.62,False,False,20.654861896518334
2,cobbty01,Ty Cobb,13071.0,23.0,22.79899624571995,29.711359433012,15.886633058427906,1.377619346441741,2.3549826965725345,1.1759970512338465,0.41526519483418173,1.9214027002347112,0.42329316296468716,149.84,False,False,26.92938530662103
3,mayswi01,Willie Mays,12541.0,21.0,21.79694229066278,28.548973829652088,15.044910751673475,1.3806547958535407,1.0506192112617927,1.7654777701563236,0.7229023451686647,1.3500153291151922,1.6426696699986023,156.18,True,False,25.96321689676774
4,bondsba01,Barry Bonds,12606.0,21.0,20.724767140690485,26.422782278669693,15.026752002711278,1.2628380888323896,0.900556903328406,2.463398390761091,3.1354053702355005,0.7331068653395135,-0.6659986147598042,162.78,False,False,27.146362206448124
5,wagneho01,Honus Wagner,11748.0,21.0,20.081883276984776,25.062310048535064,15.101456505434491,1.2722445228268786,1.6481564968799713,1.6411598098654496,0.20272529185798663,1.2177681316878821,0.7170014422433282,132.75,False,False,24.358667533613918
6,speaktr01,Tris Speaker,11988.0,20.0,18.993005356045934,24.802375599020927,13.183635113070942,1.2548433451121301,1.6238711511087418,1.1292135541376616,1.032625292260505,0.2194813477423775,1.5185363476896032,136.07,False,False,24.733970471149345
7,willite01,Ted Williams,9791.0,17.0,18.782672830027916,23.462064541232742,14.103281118823089,1.448290775151137,2.046023430451624,2.49841106426999,2.9635284735306984,-0.7780447907459703,-0.6679397077190995,121.73,False,False,20.30510151685027
8,hornsro01,Rogers Hornsby,9475.0,15.0,16.280689356012854,19.523317256815563,13.038061455210146,1.3031472192779328,2.009755905810888,2.152699950054877,0.860299731779213,-0.4581780260806166,0.07099145974171638,127.39999999999999,False,False,19.213767606626732
9,lajoina01,Nap Lajoie,10461.0,20.0,15.98745362795066,19.6856851279945,12.289222127906823,1.1343430334104048,1.8478327791542644,1.1911805195215934,-0.8321399680862421,-0.03426445721498672,1.5463974316888502,108.7,False,False,21.58463824616624
10,mantlmi01,Mickey Mantle,9909.0,18.0,15.741295017361086,19.23158674101238,12.251003293709791,1.1598087621681263,0.9106946629175049,1.7798933060933535,2.4255268655552147,0.4283003550720331,0.3362482470107206,110.25999999999999,False,False,21.146148444976422
11,aaronha01,Hank Aaron,13940.0,23.0,15.2777082271922,20.584732992696207,9.970683461688195,0.8607112696025792,1.1741710630966713,1.7137247064036816,0.23879334211642342,0.2782209070457046,-0.2867944308186981,143.22,False,False,29.343957260709885
12,musiast01,Stan Musial,12712.0,21.0,14.948650879582747,18.82053343389566,11.076768325269834,0.8844134024123218,1.7097639218411167,1.465293760730729,0.7484892169138954,-0.3758820929704744,-0.5268230737678695,128.54,False,False,26.85839171409919
13,rodrial01,Alex Rodriguez,12207.0,19.0,14.932956964667998,18.200074332189732,11.665839597146261,0.9093015306035507,0.8831436252812095,1.6022232518854258,0.7335437690144219,0.5878576514511765,0.15775662703500087,117.41,False,False,24.393708040566203
14,gehrilo01,Lou Gehrig,9660.0,14.0,14.789510161686932,17.595787756665196,11.983232566708669,1.101457762545552,1.1911922023165296,2.4956955197981054,1.9413605165454046,-0.16876414722083125,-0.9093409551064799,113.51,False,False,19.2954025890048
15,foxxji01,Jimmie Foxx,9670.0,16.0,14.660616361910543,17.176032432947498,12.14520029087359,1.0754309637472261,0.9630829026371479,2.447560207047151,1.7022593509795607,-0.2527732830032067,-0.4635528797784953,92.72,False,False,18.894184607978605
16,troutmi01,Mike Trout,7201.0,12.0,14.633875675010511,16.40166776469668,12.866083585324342,1.4438114496941408,1.1738450600853554,1.9996628318343357,2.0697744012839765,0.576894320797299,1.1354610495505284,91.15,False,False,15.22800806058704
17,schmimi01,Mike Schmidt,10062.0,16.0,14.361591707877054,17.761207455240818,10.96197596051329,1.081351193682885,0.042088505644016505,2.2774471348045835,1.770706273108042,0.027601664739226258,1.0282985388178913,106.88000000000001,False,False,20.88534063420361
18,collied01,Eddie Collins,12037.0,20.0,14.330485477331163,18.31606567764422,10.344905277018103,0.9198660254948132,1.5493971748576003,0.1275552144727109,1.3337211197284318,1.6757486152896885,0.5791666759695389,123.71,False,False,24.88462870611113
19,pujolal01,Albert Pujols,13041.0,21.0,13.528346871950266,15.512009063050668,11.544684680849862,0.6683402273482941,1.0621004553436388,1.2550788833111937,0.36615130834467025,-0.19583017975255543,-0.2192284355368356,101.17,False,False,27.557691389462406
20,dimagjo01,Joe DiMaggio,7671.0,13.0,13.038053763796594,15.029088788785836,11.047018738807353,1.1755251301357712,1.2171794485687144,1.9858662934339093,0.10242106225153794,-0.698653738989725,1.3711733760440152,78.92,False,False,15.409618147462318
21,morgajo02,Joe Morgan,11329.0,19.0,12.97670319637559,14.923724505709565,11.029681887041615,0.7828830590385175,0.24662798577482603,0.7857303810097097,2.2891382267495772,2.1450143950865415,0.14880143409772512,100.59,False,False,23.410325148825027
22,henderi01,Rickey Henderson,13346.0,24.0,12.77367951538789,15.58117469855867,9.966184332217113,0.6557237380119119,0.2227526425024715,-0.1814155282223206,2.1500102737091082,3.394314333408648,0.44445071508045475,111.17999999999999,False,False,28.720535918299586
23,delahed01,Ed Delahanty,8400.0,15.0,12.102199702852078,13.593934327413546,10.61046507829061,0.9627020754208421,1.3698885735872453,1.5814239975479378,0.10771778554869818,0.12771226631921706,0.26882649446747736,70.43,False,False,17.230345149689697
24,griffke02,Ken Griffey,11304.0,21.0,11.997323454847846,14.209560886020357,9.785086023675335,0.735255168711033,0.36021871163600466,1.4907974943198015,0.681002758463317,-0.3431363639548594,0.7308183373672275,83.82,False,False,23.892254637409167
25,brettge01,George Brett,11624.0,20.0,11.3748691143951,13.304068489057453,9.445669739732748,0.6564903120707009,1.2711835231442865,0.7683278428020304,0.09067518884633058,-0.007516564415461154,0.18160519921859486,88.61,False,False,24.875645188328324
26,robinfr02,Frank Robinson,11743.0,19.0,11.073291658392295,13.871568456282052,8.275014860502537,0.7227912352383179,0.8622612821444346,1.5993266862999147,0.8702638816680327,0.4170071822333199,-0.72206130842561,107.24000000000001,False,False,24.631426142653776
27,vottojo01,Joey Votto,8746.0,16.0,10.703185865229619,11.918075784077622,9.488295946381616,0.8030685779401477,1.0553397845706116,0.6799552254671927,2.079512142175365,-0.11988076075831276,0.43258468393550586,63.64,False,False,19.61902817204675
28,heltoto01,Todd Helton,9450.0,16.0,10.525203441485333,11.294442352673208,9.755964530297458,0.6993001857201788,1.4343917914488777,0.6366051842204125,1.2769598991377284,-0.41881436465424166,-0.0390673021447839,61.769999999999996,False,False,19.911681587004527
29,broutda01,Dan Brouthers,7691.0,15.0,10.130975717928681,12.635373648905187,7.6265777869521765,1.0285204435413255,1.7260307496570146,1.7720653737752408,1.06877733740891,-0.21306264220926058,-0.7474044684659029,78.66,False,False,16.86737148739828
30,snidedu01,Duke Snider,8237.0,14.0,9.976208766179454,10.909538523878755,9.042879008480153,0.8489771337358435,0.7625855680431861,1.6419746750938917,0.5313454819705207,0.35352914430231624,0.1956079908371841,65.99000000000001,False,False,15.868063059607781
31,gehrich01,Charlie Gehringer,10237.0,16.0,9.953950203305997,11.942662920670026,7.9652374859419695,0.6826324391048947,0.9365233477129336,0.6120840715956738,0.7856394695281957,0.21190813773262415,0.5914772629311528,84.6,False,False,20.34617672429209
